time-hour stock-price avg-price-3-min avg-price-5-min average-volume current-volume number-of-stocks portfolio-value 
767 195.56 195.5725 195.54600000000002 1179.6666666666667 320 125 30046.0
768 195.56 195.555 195.564 1377.0 1001 125 30046.0
769 195.45 195.505 195.548 649.6666666666666 628 125 30032.25
770 195.41 195.45749999999998 195.504 777.0 702 0 30027.25
771 195.48 195.45499999999998 195.49200000000002 743.3333333333334 900 0 30027.25
772 195.56 195.5025 195.492 666.0 396 0 30027.25
773 195.72 195.62 195.524 2997.6666666666665 7697 0 30027.25
774 195.68 195.66 195.57 3272.6666666666665 1725 0 30027.25
775 195.69 195.695 195.626 3376.6666666666665 708 0 30027.25
776 195.6 195.64249999999998 195.65 954.0 429 0 30027.25
777 195.7 195.67249999999999 195.678 522.0 429 0 30027.25
778 195.6 195.625 195.654 487.0 603 0 30027.25
779 195.61 195.63 195.64000000000004 910.6666666666666 1700 0 30027.25
780 195.67 195.6375 195.63600000000002 1135.0 1102 0 30027.25
781 195.76 195.7 195.668 1335.6666666666667 1205 0 30027.25
782 195.72 195.71749999999997 195.67200000000003 1171.3333333333333 1207 25 30027.25
783 195.73 195.735 195.69800000000004 1214.6666666666667 1232 50 30027.5
784 195.65 195.6875 195.70600000000002 916.0 309 50 30023.5
785 195.545 195.6175 195.681 552.0 115 50 30018.25
786 195.43 195.51375000000002 195.61500000000004 300.0 476 0 30012.5
787 195.42 195.45375 195.55500000000004 432.0 705 0 30012.5
788 195.48 195.4525 195.50500000000002 617.6666666666666 672 0 30012.5
789 195.5 195.475 195.475 592.3333333333334 400 0 30012.5
790 195.54 195.515 195.47400000000002 507.3333333333333 450 0 30012.5
791 195.49 195.505 195.48600000000002 467.6666666666667 553 0 30012.5
792 195.44 195.4775 195.49 502.6666666666667 505 0 30012.5
793 195.39 195.4275 195.472 486.0 400 0 30012.5
794 195.36 195.3875 195.44400000000002 391.6666666666667 270 0 30012.5
795 195.48 195.4275 195.43200000000002 309.3333333333333 258 0 30012.5
796 195.45 195.435 195.424 207.0 93 0 30012.5
797 195.46 195.46249999999998 195.42800000000003 504.0 1161 25 30012.5
798 195.5 195.4775 195.45000000000002 518.6666666666666 302 25 30013.5
799 195.47 195.47500000000002 195.472 621.0 400 25 30012.75
800 195.48 195.48250000000002 195.472 400.3333333333333 499 50 30013.0
801 195.62 195.5475 195.506 744.6666666666666 1335 75 30020.0
802 195.52 195.53500000000003 195.51800000000003 1193.0 1745 100 30012.5
803 195.52 195.54500000000002 195.52200000000002 1178.3333333333333 455 100 30012.5
804 195.56 195.54000000000002 195.54000000000002 1338.0 1814 100 30016.5
805 195.43 195.485 195.53000000000003 1324.6666666666667 1705 100 30003.5
806 195.48 195.4875 195.50200000000004 1325.0 456 0 30008.5
807 195.52 195.4875 195.50200000000004 1053.3333333333333 999 0 30008.5
808 195.44 195.47 195.48600000000002 768.6666666666666 851 0 30008.5
809 195.48 195.48000000000002 195.47000000000003 834.3333333333334 653 0 30008.5
810 195.54 195.5 195.49200000000002 818.6666666666666 952 25 30008.5
811 195.48 195.495 195.49200000000002 645.0 330 0 30007.0
812 195.53 195.51999999999998 195.494 524.3333333333334 291 0 30007.0
813 195.41 195.45749999999998 195.488 609.6666666666666 1208 0 30007.0
814 195.35 195.41 195.462 804.6666666666666 915 0 30007.0
